name,role,company,portfolio_url,company_url,notes,date_added
Brittany Chiang,Sr. Frontend Engineer (Accessibility),Klaviyo,https://brittanychiang.com,https://www.klaviyo.com,"Clean minimal design, Next.js + Tailwind, prev. Apple & Starry. VS Code theme with 100k+ installs.",2026-02-13
Josh W. Comeau,Independent Educator (prev. Sr. SWE),Self-employed (prev. Gatsby / Khan Academy / DigitalOcean),https://www.joshwcomeau.com,https://www.joshwcomeau.com,"Interactive tutorials, dark mode, whimsical animations. Wrote book on building dev portfolios.",2026-02-13
Sara Soueidan,Independent Web UI Developer & Educator,Self-employed (clients: Netflix / TELUS Digital),https://www.sarasoueidan.com,https://www.sarasoueidan.com,"Accessibility-focused, SVG specialist, O'Reilly Web Platform Award winner. Built with Eleventy.",2026-02-13
Addy Osmani,"Director, Google Cloud AI",Google,https://addyosmani.com,https://google.com,Prev. led Chrome DevTools (40M+ users). Author of Learning JS Design Patterns.,2026-02-13
Una Kravets,"Staff DevRel Engineer, Chrome",Google,https://una.im,https://google.com,"CSS Working Group member. Prev. DigitalOcean, IBM Design. Co-hosts CSS Podcast.",2026-02-13
Dan Abramov,Software Engineer,Bluesky (prev. Meta),https://overreacted.io,https://bsky.app,Co-created Redux and Create React App. React core team at Meta for years.,2026-02-13
Olaolu Olawuyi,Senior Software Engineer,Shopify,https://olaolu.dev,https://shopify.com,"UX engineer, 15yr experience. Beautiful Vue.js portfolio with animations.",2026-02-13
Theo Browne,CEO & Co-founder,T3 Chat (YC W22),https://t3.gg,https://t3.chat,Created T3 Stack. Prev. SDE at Twitch. Major YouTube presence (500k+).,2026-02-13
Brian Lovin,Co-founder,"Campsite (prev. GitHub, Facebook)",https://brianlovin.com,https://campsite.co,Designer + engineer. Founded Spectrum (acquired by GitHub). Next.js site.,2026-02-13
Cassidy Williams,CTO,Contenda,https://cassidoo.co,https://contenda.co,"Prev. Amazon, Netlify. Glamour 35 Under 35 in Tech. Startup advisor.",2026-02-13
Tania Rascia,Staff Software Engineer,Balto,https://taniarascia.com,https://balto.ai,"Self-taught to staff eng. No ads, no tracking, no AI content. Clean design.",2026-02-13
Maxime Heckel,Software Engineer,Linear,https://maximeheckel.com,https://linear.app,3D/WebGL/shader experiments. Interactive blog posts. Polished design system.,2026-02-13
Paco Coursey,Design Engineer,Linear (prev. Vercel),https://paco.me,https://linear.app,"Crafts Linear public website. Minimal, elegant portfolio.",2026-02-13
Lee Robinson,Teaching at Cursor (prev. VP of DX),Cursor (prev. Vercel),https://leerob.com,https://cursor.com,Built with Next.js + Tailwind. View Transitions API. Minimal and fast.,2026-02-13
Guillermo Rauch,CEO & Founder,Vercel,https://rauchg.com,https://vercel.com,"Created Next.js, Socket.io, Mongoose. Ultra-minimal blog/portfolio.",2026-02-13
Shu Ding,Designer & Engineer,Vercel,https://shud.in,https://vercel.com,Created SWR and Satori. One of earliest Vercel engineers (2018).,2026-02-13
Lydia Hallie,Head of DX,Bun (prev. Vercel),https://lydiahallie.com,https://bun.sh,Co-authored patterns.dev (3M+ views). Visual storytelling approach.,2026-02-13
Rauno Freiberg,Staff Design Engineer,Vercel (prev. The Browser Company),https://rauno.me,https://vercel.com,Prev. designed Arc browser. Obsessive craft and polish. Interaction design.,2026-02-13
