name,role,resume_url,local_file,layout,standout_features,content_strategy,key_sections,date_added
Debarghya Das,"CS Grad, Cornell (creator of Deedy Resume)",https://debarghyadas.com/resume/debarghya-das-resume.pdf,data/resumes/debarghya-das.pdf,"Two-column asymmetric (narrow left, wide right)","Most iconic LaTeX resume in tech. 5K+ GitHub stars, 100K+ Overleaf uses. Instantly recognizable layout with clean hierarchy and strong white space.","Concise bullet-pointed achievements. Technical precision in project descriptions. Clear delineation between work, research, and projects.","Education, Experience, Research, Awards, Publications, Skills",2026-02-13
Sourabh Bajaj,"Software Engineer at Google (prev. Coursera)",https://raw.githubusercontent.com/sb2nov/resume/master/sourabh_bajaj_resume.pdf,data/resumes/sourabh-bajaj.pdf,Single-column single-page,"DYLAN'S DESIGN FAVORITE. Clean LaTeX layout. Section headers with horizontal rules. Nested bullet hierarchy (main for company, sub for projects). Bold company names, italic roles, right-aligned dates. Professional typography.","Project-based sub-bullets under each role. Describes what each project IS then what he DID. Tech context woven into descriptions naturally.","Education, Experience, Projects",2026-02-13
Aanand Kainth,"SDE at Amazon AWS Managed Kafka",https://akainth.me/resume.pdf,data/resumes/aanand-kainth.pdf,Single-page minimalist,"DYLAN'S CONTENT FAVORITE. Every bullet quantifies impact with hard numbers. Bolds key metrics ($73k/month, 91% reduction). Skills categorized at top.","Impact-driven: every bullet ties technical work to business value. Bolds the numbers so they pop on scan. Format: 'Did X using Y, resulting in Z metric'.","Skills, Experience, Education, Additional Experience",2026-02-13
Andrej Karpathy,"Early career Stanford CS (later: Tesla AI Director, OpenAI co-founder)",https://cs.stanford.edu/~karpathy/Andrej_Karpathy_Resume.pdf,data/resumes/andrej-karpathy.pdf,Single-page academic,"Historical artifact: resume of one of AI's most influential leaders from before he was famous. Shows how top talent presents early-career work.","Academic focus on research and publications. Emphasis on ML/CV expertise. Clean professional presentation.","Education, Research Experience, Publications, Skills",2026-02-13
Anusha Balakrishnan,"Stanford CS (Linguistics concentration)",https://cs.stanford.edu/people/anusha/static/resume.pdf,data/resumes/anusha-balakrishnan.pdf,Single-page with visual enhancements,"Uses embedded logos and icons for visual interest. Helvetica Neue typography. Color usage beyond black and white. Hyperlinked references.","Concise without lengthy descriptions. Selective highlighting of accomplishments. Links to external portfolios.","Contact, Education, Experience, External Links",2026-02-13
Jake Gutierrez,"SWE Infrastructure at Clever (creator of Jake's Resume template)",https://jakegut.com/resume.pdf,data/resumes/jake-gutierrez.pdf,Single-column single-page LaTeX,"Creator of the famous 'Jake's Resume' template used by 50K+ engineers. Clean section labels left-aligned. Work Experience and Projects given equal weight.","Action-verb-led bullets. Concise 1-2 line bullets. Tech stack woven into descriptions. No fluff.","Work Experience, Education, Projects, Technical Skills",2026-02-13
Rishabh Garg,"SDE II at Amazon AWS (Bedrock/LLM eval)",https://bigharshrag.github.io/assets/pdf/Resume.pdf,data/resumes/rishabh-garg.pdf,Single-column single-page LaTeX,"Strong metrics throughout. Mixes industry (AWS, Goldman Sachs) with research (UT Austin). Publications section with Best Paper Award.","Quantifies everything: '30+ customers', 'reduce time by 90%', 'reducing monthly spend by 30%'. Role @ Company format. Dates left-aligned with bullets.","Experience, Education, Skills, Publications",2026-02-13
Brittany Chiang,"Senior Frontend Engineer at Klaviyo (prev Apple, Starry, Upstatement)",https://brittanychiang.com/resume.pdf,data/resumes/brittany-chiang.pdf,"Single-page, custom typography","Most iconic developer portfolio in tech. Resume embeds hyperlinks to live projects/repos. Portfolio-driven narrative. Design system expertise shines through the resume's own design. Custom non-standard typefaces.","Demonstrated work over descriptions. Links to live projects (Halcyon VS Code theme, Spotify app). Roles at design-forward companies.","Experience, Skills, Projects, Education",2026-02-14
Yangshun Tay,"Ex-Meta Staff Engineer, creator of Tech Interview Handbook & Blind 75",https://www.yangshuntay.com/resume,,"Modern grid-based card system with company logos (SVG icons)","Portfolio-driven resume with 14+ projects spanning 2013-2025. 35+ awards section. Web-native format (not PDF). Tech Interview Handbook used by millions. Shows side-project impact alongside FAANG work.","Projects-heavy with recognition archive and speaking engagements. Minimal bullet points — lets project links do the talking.","Experience, Projects, Awards, Talks, Media",2026-02-14
Pirate King,"FAANG SWE (Microsoft, Amazon, eBay). $360k Google offer.",https://www.piratekingdom.com/resume,,"Single-page Google Docs, dark and white themes","Skills-first layout (no summary/objective). Business context over technical jargon. Quantified everything ($35.3B revenue, 80% latency reduction). Condensed old roles to one-liners. Openly shares 10 contrarian resume tips.","Skills at top, experience over education, embedded LinkedIn/GitHub links. Recent experience detailed, old roles minimal.","Skills, Experience, Education",2026-02-14
Byungjin Park (posquit0),"SRE / Software Architect, creator of Awesome-CV (25K+ GitHub stars)",https://raw.githubusercontent.com/posquit0/Awesome-CV/master/examples/resume.pdf,data/resumes/posquit0.pdf,"Multi-page, color-accented LaTeX with sidebar header","Most-starred CV template on GitHub (25K+). Beautiful accent colors on headers and section bars. Multi-page format that still feels organized. Proves more than one page can work.","Detailed role descriptions with sub-projects. Clean semantic LaTeX markup. Color used as structural element.","Summary, Experience, Extracurricular, Education, Skills",2026-02-14
Satvik Ramaprasad,"SWE II at Databricks (now xAI). University Topper at IIIT-B.",https://satu0king.github.io/resume.pdf,data/resumes/satvik-ramaprasad.pdf,"Clean single-page LaTeX, traditional structure","Fast-track promotion highlighted. Strong quantified metrics (500 pods, 100 shards, 3 clouds). Open source leadership (CircuitVerse.org — GSoC mentor org 6 years). Blends industry with open-source.","Metrics-driven bullets. Clear project impact. Open source as differentiator.","Education, Experience, Projects, Skills",2026-02-14
Daniel Phang (dphang),"Senior SWE at Airbnb",https://github.com/dphang/resume/blob/master/resume-example.pdf,data/resumes/daniel-phang.pdf,"Single-page, modern Lato font, minimal sections","Template used widely on Overleaf. Modern sans-serif (Lato) vs typical LaTeX Computer Modern. Extremely clean section dividers. Simplicity and font choice as differentiator.","Brief ATS-friendly bullets. Experience, Skills, Education in clear order. No visual clutter.","About, Experience, Skills, Education",2026-02-14
